Customer Order,Dist.Chl.Name,Material Group,FG Type,FG Type Desc.,Construction,Fabrication,Design Source,Business Source,Customer Group,Customer,Gender,Global Style,FG SKU,Cust.Color Code,Season,Season Year,Size,Order Qty,Sales Unit,FOB,Total FOB,SO Doc.Currency,Destination,Req.Delivery Date,RM In Date,Planned Cut Date,Original Ex.Factory Date,Revised Ex.Factory Date,Program Type,Program Type Desc.,Pack Qty,Production Lead Time,Revised Original Date Difference,Order Day,Order Year,Order Month
867536163,0,0,4,4,0,1,0,0,0,6,5,7,101,582,0,2023,89,30,1,5.25,157.5,0,0,1684454400.0,1683849600.0,1684108800.0,1683590400.0,1685059200.0,1,1,50,-6,17,19,2023,5
867536164,0,0,4,4,0,1,0,0,0,6,5,7,102,582,0,2023,95,15,1,5.25,78.75,0,0,1684454400.0,1683849600.0,1684108800.0,1683590400.0,1685059200.0,1,1,50,-6,17,19,2023,5
867536165,0,0,4,4,0,1,0,0,0,6,5,7,103,582,0,2023,98,5,1,5.25,26.25,0,0,1684454400.0,1683849600.0,1684108800.0,1683590400.0,1685059200.0,1,1,50,-6,17,19,2023,5
867536166,0,0,4,4,0,1,0,0,0,6,5,7,104,14,0,2023,93,20,1,5.25,105.0,0,0,1684454400.0,1683849600.0,1684108800.0,1683590400.0,1685059200.0,1,1,50,-6,17,19,2023,5
867536167,0,0,4,4,0,1,0,0,0,6,5,7,105,14,0,2023,92,30,1,5.25,157.5,0,0,1684454400.0,1683849600.0,1684108800.0,1683590400.0,1685059200.0,1,1,50,-6,17,19,2023,5
867536168,0,0,4,4,0,1,0,0,0,6,5,7,106,14,0,2023,89,30,1,5.25,157.5,0,0,1684454400.0,1683849600.0,1684108800.0,1683590400.0,1685059200.0,1,1,50,-6,17,19,2023,5
867536169,0,0,4,4,0,1,0,0,0,6,5,7,107,14,0,2023,95,15,1,5.25,78.75,0,0,1684454400.0,1683849600.0,1684108800.0,1683590400.0,1685059200.0,1,1,50,-6,17,19,2023,5
867536170,0,0,4,4,0,1,0,0,0,6,5,7,108,14,0,2023,98,5,1,5.25,26.25,0,0,1684454400.0,1683849600.0,1684108800.0,1683590400.0,1685059200.0,1,1,50,-6,17,19,2023,5
867536171,0,1,4,4,0,1,1,0,0,6,5,7,109,7,11,2024,97,5,1,5.25,26.25,0,0,1706832000.0,1704153600.0,1704758400.0,1705622400.0,1706486400.0,1,1,20,10,10,2,2024,2
867536172,0,1,4,4,0,1,1,0,0,6,5,7,110,7,11,2024,93,30,1,5.25,157.5,0,0,1706832000.0,1704153600.0,1704758400.0,1705622400.0,1706486400.0,1,1,20,10,10,2,2024,2
